review_id	sentiment	label_id	input_ids	review_body	date
15384	1	2	[0, 100, 95, 300, 42, 3588, 11, 5, 7107, 1437, 8, 939, 33, 7, 11967, 19, 5, 986, 37102, 7586, 5, 26370, 5326, 219, 15, 5, 3588, 16, 98, 157, 626, 8, 7992, 4, 5, 1468, 16, 239, 1318, 8, 1712, 8016, 868, 1437, 3106, 62, 6683, 7, 5, 26370, 5326, 219, 7586, 939, 2333, 645, 41, 1823, 650, 11, 7082, 12365, 14442, 1437, 8, 2740, 5, 1823, 650, 11, 42, 65, 4, 939, 437, 195, 108, 306, 113, 1437, 16662, 2697, 1437, 19, 10, 5350, 11454, 1119, 4, 5, 3023, 29, 21, 55, 15898, 1437, 61, 939, 770, 4, 939, 64, 7494, 24, 50, 3568, 24, 7082, 4, 222, 939, 4521, 5, 3195, 116, 11577, 4066, 2272, 4, 64, 75, 13332, 2, 1, 1, 1, 1, 1]	"I just got this dress in the mail  and i have to disagree with the previous reviewer.. the embroidery on the dress is so well done and thick. the material is high quality and although breathable  holds up perfectly to the embroidery.. i usually order an extra small in loose fitting dresses  and ordered the extra small in this one. i'm 5'4""  117 pounds  with a curvy build. the xs was more fitted  which i wanted. i can belt it or wear it loose. did i mention the color? vibrant rich green. can't wa"	2021-09-28T02:28:47Z
14055	1	2	[0, 597, 2629, 1528, 7, 1836, 4, 182, 27360, 4, 24, 18, 372, 19, 22877, 10844, 4, 45, 1341, 5, 5933, 9, 27115, 636, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	Fits true to size. very feminine. it's great with skinny jeans. not quite the length of tunic	2021-09-28T02:28:47Z
17448	-1	0	[0, 100, 56, 239, 1991, 13, 42, 27115, 636, 13, 41, 2568, 295, 219, 1805, 111, 7, 356, 14160, 8, 1451, 5, 2859, 4, 24, 16, 1307, 4, 5, 27115, 636, 32305, 127, 1086, 4, 24, 376, 159, 823, 7, 127, 15145, 36, 118, 437, 195, 108, 231, 43, 8, 24, 21, 28880, 111, 1481, 1115, 13802, 8, 222, 45, 356, 14160, 23, 70, 4, 15, 5, 1421, 24, 1326, 101, 24, 2323, 1084, 12, 212, 8774, 4, 939, 524, 10, 1836, 158, 111, 8, 5, 784, 21, 101, 10, 3065, 8875, 3298, 15, 162, 4, 114, 939, 56, 86, 1437, 939, 74, 860, 5, 4761, 1666, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I had high hopes for this tunic for an upcoming ny trip - to look stylish and beat the heat. it is huge. the tunic swallowed my whole. it came down nearly to my knees (i'm 5' 6) and it was gigantic - shapeless and did not look stylish at all. on the model it looks like it hits mid-thigh. i am a size 10 - and the l was like a giant trash bag on me. if i had time  i would try the medium ...	2021-09-28T02:28:47Z
13368	-1	0	[0, 2387, 1623, 393, 34, 932, 2430, 7, 224, 59, 127, 5418, 454, 939, 5328, 209, 9304, 328, 51, 32, 45, 34203, 8, 1682, 16539, 66, 454, 939, 115, 2999, 106, 160, 396, 542, 329, 11813, 106, 328, 3298, 4740, 11, 5, 639, 8, 26654, 546, 4, 51, 32, 164, 124, 25, 1115, 328, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	My husband never has anything negative to say about my clothes until i wore these pants! they are not flattering and kept stretching out until i could pull them off without unzipping them! baggy in the behind and sloppy looking. they are going back asap!	2021-09-28T02:28:47Z
3289	0	1	[0, 104, 40386, 139, 3793, 328, 45, 10, 4866, 9, 3989, 53, 182, 19431, 405, 1848, 8, 3279, 328, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	Sooooo soft! not a ton of shape but very versitile and warm!	2021-09-28T02:28:47Z
10449	0	1	[0, 4993, 2600, 97, 6173, 939, 2740, 10, 650, 4, 127, 4505, 1836, 16, 10, 475, 4, 24, 21, 1307, 70, 198, 4, 24, 18, 10, 2721, 5780, 53, 939, 206, 24, 74, 146, 10, 2579, 21592, 299, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	After reading other reviews i ordered a small. my usual size is a m. it was huge all around. it's a beautiful print but i think it would make a nice maternity top.	2021-09-28T02:28:47Z
18986	-1	0	[0, 100, 2740, 42, 71, 2600, 149, 5, 6173, 4, 939, 4883, 5, 6173, 58, 4281, 1437, 53, 802, 939, 1017, 185, 10, 778, 4, 9574, 89, 58, 55, 383, 1593, 87, 235, 19, 42, 3588, 4, 235, 35, 939, 2638, 5, 1337, 8089, 36, 10932, 1437, 24, 924, 909, 53, 16, 888, 6219, 322, 939, 67, 2638, 14, 24, 21, 9321, 8, 5, 14187, 21, 4126, 12, 2611, 12552, 7, 5, 3588, 1437, 19, 5, 276, 20280, 12, 560, 12, 5481, 23385, 1902, 4, 1593, 35, 25, 26, 30, 643, 1437, 5, 21764, 58, 182, 3229, 328, 5, 3588, 16, 929, 219, 8, 473, 7021, 53, 7328, 5, 1421, 1437, 24, 965, 75, 588, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I ordered this after reading through the reviews. i realize the reviews were mixed  but thought i'd take a chance. unfortunately there were more things wrong than right with this dress. right: i loved the various colors (yes  it shows black but is actually brown). i also loved that it was lined and the lining was semi-attached to the dress  with the same hi-to-low hemline. wrong: as said by others  the sleeves were very tight! the dress is roomy and does swing but unlike the model  it isn't real	2021-09-28T02:28:47Z
3019	1	2	[0, 100, 21, 1372, 7, 1325, 42, 23204, 11, 117, 86, 23, 70, 4, 77, 939, 1357, 5, 3737, 24, 2551, 350, 7174, 1437, 959, 1437, 71, 667, 24, 15, 1437, 24, 18, 5, 1969, 2564, 8, 2496, 4, 64, 28, 10610, 19, 10844, 50, 31296, 8, 190, 3588, 3369, 3400, 4, 372, 907, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I was happy to receive this sweater in no time at all. when i opened the package it seemed too thin  however  after trying it on  it's the perfect fit and style. can be worn with jeans or skirts and even dress slacks. great buy.	2021-09-28T02:28:47Z
19567	1	2	[0, 713, 16, 98, 1256, 13, 1035, 4, 24, 16, 182, 13719, 8, 34203, 15, 4, 5, 3195, 21, 10, 410, 19129, 87, 939, 421, 1437, 53, 24, 16, 202, 2721, 328, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	This is so pretty for summer. it is very lightweight and flattering on. the color was a little brighter than i expected  but it is still beautiful!	2021-09-28T02:28:47Z
6875	1	2	[0, 46375, 1437, 5, 8194, 26, 42, 21, 2440, 1437, 53, 25, 24, 1326, 15, 5, 2170, 1437, 24, 16, 55, 10521, 4, 14, 145, 26, 1437, 59, 5, 992, 5600, 324, 35, 657, 4, 127, 15240, 661, 36, 118, 1146, 24, 11, 13, 10, 860, 15, 1852, 23, 127, 400, 1400, 43, 1437, 26, 1437, 22, 6968, 216, 141, 939, 619, 59, 22861, 1437, 939, 351, 75, 101, 24, 47096, 8018, 15, 69, 1437, 79, 1224, 198, 8, 21, 15983, 1437, 939, 4395, 75, 33, 1415, 1437, 657, 5, 910, 5865, 1634, 23, 5, 2576, 734, 405, 817, 42, 22, 35047, 5109, 113, 203, 55, 780, 4, 24, 16, 888, 269, 11962, 13, 9881, 183, 1437, 10844, 326, 12, 8674, 1437, 1159, 734, 50, 81, 22861, 2]	"Interestingly  the description said this was blue  but as it looks on the picture  it is more grey. that being said  about the zippie: love. my stylist (i brought it in for a try on session at my local store)  said  ""you know how i feel about sweats  i won't like it""... joke on her  she turned around and was ok  i shouldn't have looked  love the ruffles at the bottom...it makes this ""sweater"" much more special. it is actually really cute for casual day  jeans t-shirt  kids... or over sweats. any"	2021-09-28T02:28:47Z
